assessment_id,course_id,max_score
ASS-0001,CORS-0070,100
ASS-0002,CORS-0146,100
ASS-0003,CORS-0134,100
ASS-0004,CORS-0140,100
ASS-0005,CORS-0070,100
ASS-0006,CORS-0005,100
ASS-0007,CORS-0093,100
ASS-0008,CORS-0061,100
ASS-0009,CORS-0134,100
ASS-0010,CORS-0107,100
ASS-0011,CORS-0017,100
ASS-0012,CORS-0069,100
ASS-0013,CORS-0014,100
ASS-0014,CORS-0032,100
ASS-0015,CORS-0118,100
ASS-0016,CORS-0113,100
ASS-0017,CORS-0028,100
ASS-0018,CORS-0034,100
ASS-0019,CORS-0059,100
ASS-0020,CORS-0054,100
ASS-0021,CORS-0075,100
ASS-0022,CORS-0196,100
ASS-0023,CORS-0115,100
ASS-0024,CORS-0159,100
ASS-0025,CORS-0047,100
ASS-0026,CORS-0137,100
ASS-0027,CORS-0036,100
ASS-0028,CORS-0043,100
ASS-0029,CORS-0046,100
ASS-0030,CORS-0058,100
ASS-0031,CORS-0180,100
ASS-0032,CORS-0175,100
ASS-0033,CORS-0165,100
ASS-0034,CORS-0096,100
ASS-0035,CORS-0145,100
ASS-0036,CORS-0148,100
ASS-0037,CORS-0102,100
ASS-0038,CORS-0185,100
ASS-0039,CORS-0114,100
ASS-0040,CORS-0049,100
ASS-0041,CORS-0084,100
ASS-0042,CORS-0042,100
ASS-0043,CORS-0043,100
ASS-0044,CORS-0178,100
ASS-0045,CORS-0012,100
ASS-0046,CORS-0008,100
ASS-0047,CORS-0056,100
ASS-0048,CORS-0196,100
ASS-0049,CORS-0195,100
ASS-0050,CORS-0071,100
ASS-0051,CORS-0049,100
ASS-0052,CORS-0063,100
ASS-0053,CORS-0129,100
ASS-0054,CORS-0172,100
ASS-0055,CORS-0113,100
ASS-0056,CORS-0031,100
ASS-0057,CORS-0168,100
ASS-0058,CORS-0027,100
ASS-0059,CORS-0128,100
ASS-0060,CORS-0192,100
ASS-0061,CORS-0051,100
ASS-0062,CORS-0190,100
ASS-0063,CORS-0014,100
ASS-0064,CORS-0036,100
ASS-0065,CORS-0014,100
ASS-0066,CORS-0097,100
ASS-0067,CORS-0152,100
ASS-0068,CORS-0083,100
ASS-0069,CORS-0079,100
ASS-0070,CORS-0072,100
ASS-0071,CORS-0084,100
ASS-0072,CORS-0189,100
ASS-0073,CORS-0015,100
