enrollment_id,user_id,course_id,enrollment_date
ERL-0001,USR-0194,CORS-0191,26-03-19 01:45:23
ERL-0002,USR-0196,CORS-0027,26-03-06 03:27:59
ERL-0003,USR-0137,CORS-0178,24-07-15 18:25:57
ERL-0004,USR-0039,CORS-0099,25-06-13 15:46:35
ERL-0005,USR-0097,CORS-0066,26-03-05 11:47:29
ERL-0006,USR-0079,CORS-0069,25-07-30 19:46:01
ERL-0007,USR-0126,CORS-0157,26-05-07 08:51:03
ERL-0008,USR-0106,CORS-0106,26-01-16 23:49:31
ERL-0009,USR-0152,CORS-0027,26-01-11 13:48:15
ERL-0010,USR-0070,CORS-0159,25-11-09 21:32:30
ERL-0011,USR-0143,CORS-0093,24-06-23 04:34:53
ERL-0012,USR-0194,CORS-0009,26-01-29 15:52:58
ERL-0013,USR-0078,CORS-0014,24-07-29 04:48:35
ERL-0014,USR-0116,CORS-0013,26-01-21 07:49:09
ERL-0015,USR-0088,CORS-0010,25-01-14 04:31:25
ERL-0016,USR-0153,CORS-0026,26-01-29 10:59:07
ERL-0017,USR-0049,CORS-0192,25-05-28 17:08:46
ERL-0018,USR-0014,CORS-0055,24-08-11 14:50:56
ERL-0019,USR-0021,CORS-0120,24-09-09 20:32:37
ERL-0020,USR-0055,CORS-0062,26-03-17 13:06:04
ERL-0021,USR-0188,CORS-0132,26-04-11 05:46:11
ERL-0022,USR-0100,CORS-0032,25-05-02 16:50:32
ERL-0023,USR-0074,CORS-0022,24-06-24 19:36:19
ERL-0024,USR-0188,CORS-0053,25-08-27 10:51:44
ERL-0025,USR-0096,CORS-0116,25-07-06 02:29:51
ERL-0026,USR-0052,CORS-0130,26-06-02 05:35:40
ERL-0027,USR-0188,CORS-0017,24-07-07 05:33:35
ERL-0028,USR-0187,CORS-0009,26-03-18 07:34:11
ERL-0029,USR-0122,CORS-0141,25-06-06 14:38:12
ERL-0030,USR-0190,CORS-0107,24-12-13 02:03:35
ERL-0031,USR-0001,CORS-0109,25-11-16 09:09:39
ERL-0032,USR-0059,CORS-0179,26-01-13 03:05:57
ERL-0033,USR-0013,CORS-0020,25-07-23 08:43:10
ERL-0034,USR-0119,CORS-0048,24-11-28 00:03:50
ERL-0035,USR-0152,CORS-0004,24-12-25 15:50:14
ERL-0036,USR-0086,CORS-0135,26-04-05 05:48:50
ERL-0037,USR-0030,CORS-0173,26-05-08 22:38:45
ERL-0038,USR-0088,CORS-0157,26-03-01 23:57:02
ERL-0039,USR-0199,CORS-0051,24-06-12 06:24:32
ERL-0040,USR-0044,CORS-0049,24-10-28 18:37:50
ERL-0041,USR-0199,CORS-0009,24-07-25 21:24:43
ERL-0042,USR-0166,CORS-0087,26-02-12 19:39:09
ERL-0043,USR-0142,CORS-0071,26-04-11 03:36:01
ERL-0044,USR-0101,CORS-0037,25-03-17 12:12:01
ERL-0045,USR-0019,CORS-0021,25-11-25 14:16:00
ERL-0046,USR-0042,CORS-0124,24-07-19 07:37:46
ERL-0047,USR-0080,CORS-0117,26-04-15 02:28:59
ERL-0048,USR-0062,CORS-0121,26-03-09 09:05:05
ERL-0049,USR-0133,CORS-0082,25-07-02 16:12:29
ERL-0050,USR-0035,CORS-0105,24-08-09 20:30:38
ERL-0051,USR-0131,CORS-0178,25-05-06 22:17:52
ERL-0052,USR-0142,CORS-0096,25-06-26 17:04:16
ERL-0053,USR-0083,CORS-0012,24-10-14 04:38:32
ERL-0054,USR-0013,CORS-0111,26-04-03 22:01:20
ERL-0055,USR-0131,CORS-0156,26-01-19 07:41:08
ERL-0056,USR-0149,CORS-0084,25-11-02 07:26:40
ERL-0057,USR-0102,CORS-0161,24-06-07 14:44:26
ERL-0058,USR-0019,CORS-0066,25-11-26 11:30:16
ERL-0059,USR-0059,CORS-0114,25-03-28 22:33:53
ERL-0060,USR-0044,CORS-0043,25-06-08 02:28:29
ERL-0061,USR-0046,CORS-0184,24-07-22 18:25:44
ERL-0062,USR-0016,CORS-0114,24-06-25 01:28:25
ERL-0063,USR-0063,CORS-0091,25-03-01 12:28:00
ERL-0064,USR-0092,CORS-0118,25-07-20 21:57:43
ERL-0065,USR-0017,CORS-0030,25-02-12 10:46:45
ERL-0066,USR-0059,CORS-0070,25-04-07 18:55:10
ERL-0067,USR-0045,CORS-0016,25-10-01 20:11:04
ERL-0068,USR-0118,CORS-0184,25-10-29 04:57:33
ERL-0069,USR-0009,CORS-0088,25-09-19 18:37:14
ERL-0070,USR-0096,CORS-0067,25-11-08 18:02:21
ERL-0071,USR-0029,CORS-0102,24-09-30 00:27:32
ERL-0072,USR-0198,CORS-0016,25-01-14 07:29:14
ERL-0073,USR-0107,CORS-0090,24-11-15 11:22:12
ERL-0074,USR-0026,CORS-0053,25-01-18 00:04:55
