activity_id,user_id,lesson_id,activity_status
ACT-0001,USR-0106,LES-0156,Completed
ACT-0002,USR-0152,LES-0163,Not Started
ACT-0003,USR-0027,LES-0185,In Progress
ACT-0004,USR-0023,LES-0098,Completed
ACT-0005,USR-0117,LES-0010,Not Started
ACT-0006,USR-0011,LES-0106,Completed
ACT-0007,USR-0176,LES-0002,Completed
ACT-0008,USR-0050,LES-0008,In Progress
ACT-0009,USR-0040,LES-0161,Not Started
ACT-0010,USR-0066,LES-0042,Not Started
ACT-0011,USR-0168,LES-0062,Completed
ACT-0012,USR-0176,LES-0020,In Progress
ACT-0013,USR-0096,LES-0096,In Progress
ACT-0014,USR-0110,LES-0200,In Progress
ACT-0015,USR-0071,LES-0164,Completed
ACT-0016,USR-0058,LES-0093,Completed
ACT-0017,USR-0041,LES-0060,In Progress
ACT-0018,USR-0047,LES-0052,Not Started
ACT-0019,USR-0016,LES-0055,Not Started
ACT-0020,USR-0033,LES-0087,In Progress
ACT-0021,USR-0097,LES-0047,Not Started
ACT-0022,USR-0142,LES-0019,Completed
ACT-0023,USR-0020,LES-0092,In Progress
ACT-0024,USR-0044,LES-0012,In Progress
ACT-0025,USR-0077,LES-0178,Completed
ACT-0026,USR-0097,LES-0171,Completed
ACT-0027,USR-0085,LES-0040,Not Started
ACT-0028,USR-0053,LES-0183,Completed
ACT-0029,USR-0171,LES-0024,Completed
ACT-0030,USR-0196,LES-0102,Not Started
ACT-0031,USR-0152,LES-0145,Completed
ACT-0032,USR-0079,LES-0007,Not Started
ACT-0033,USR-0006,LES-0073,Completed
ACT-0034,USR-0016,LES-0125,In Progress
ACT-0035,USR-0059,LES-0085,Not Started
ACT-0036,USR-0025,LES-0005,Not Started
ACT-0037,USR-0139,LES-0118,Completed
ACT-0038,USR-0189,LES-0180,Completed
ACT-0039,USR-0055,LES-0036,In Progress
ACT-0040,USR-0088,LES-0030,In Progress
ACT-0041,USR-0058,LES-0171,Completed
ACT-0042,USR-0082,LES-0173,In Progress
ACT-0043,USR-0046,LES-0073,Completed
ACT-0044,USR-0198,LES-0025,Not Started
ACT-0045,USR-0133,LES-0031,In Progress
ACT-0046,USR-0077,LES-0047,In Progress
ACT-0047,USR-0017,LES-0160,Not Started
ACT-0048,USR-0119,LES-0004,In Progress
ACT-0049,USR-0063,LES-0085,Not Started
ACT-0050,USR-0170,LES-0141,In Progress
ACT-0051,USR-0059,LES-0128,In Progress
ACT-0052,USR-0153,LES-0150,Completed
ACT-0053,USR-0127,LES-0129,Not Started
ACT-0054,USR-0167,LES-0079,In Progress
ACT-0055,USR-0185,LES-0160,Completed
ACT-0056,USR-0088,LES-0123,Completed
ACT-0057,USR-0143,LES-0005,Not Started
ACT-0058,USR-0076,LES-0183,Completed
ACT-0059,USR-0176,LES-0175,In Progress
ACT-0060,USR-0016,LES-0069,In Progress
ACT-0061,USR-0072,LES-0044,In Progress
ACT-0062,USR-0042,LES-0130,Completed
ACT-0063,USR-0196,LES-0200,Completed
ACT-0064,USR-0132,LES-0159,In Progress
ACT-0065,USR-0095,LES-0015,Not Started
ACT-0066,USR-0131,LES-0063,In Progress
ACT-0067,USR-0002,LES-0162,In Progress
ACT-0068,USR-0033,LES-0033,Completed
ACT-0069,USR-0189,LES-0173,Completed
ACT-0070,USR-0157,LES-0144,Not Started
ACT-0071,USR-0123,LES-0145,Completed
ACT-0072,USR-0157,LES-0138,Completed
ACT-0073,USR-0055,LES-0182,In Progress
ACT-0074,USR-0056,LES-0072,Completed
ACT-0075,USR-0121,LES-0012,Completed
ACT-0076,USR-0166,LES-0027,In Progress
ACT-0077,USR-0079,LES-0019,Not Started
ACT-0078,USR-0012,LES-0033,Not Started
ACT-0079,USR-0075,LES-0163,Not Started
ACT-0080,USR-0070,LES-0108,In Progress
ACT-0081,USR-0030,LES-0066,In Progress
ACT-0082,USR-0125,LES-0181,Not Started
ACT-0083,USR-0162,LES-0043,Completed
ACT-0084,USR-0083,LES-0020,Completed
ACT-0085,USR-0092,LES-0075,In Progress
ACT-0086,USR-0189,LES-0183,In Progress
ACT-0087,USR-0136,LES-0098,Completed
ACT-0088,USR-0010,LES-0009,Completed
ACT-0089,USR-0130,LES-0042,Completed
ACT-0090,USR-0127,LES-0135,Completed
ACT-0091,USR-0121,LES-0044,Completed
ACT-0092,USR-0097,LES-0049,Completed
ACT-0093,USR-0023,LES-0094,Completed
ACT-0094,USR-0018,LES-0050,Completed
ACT-0095,USR-0182,LES-0063,In Progress
ACT-0096,USR-0121,LES-0065,In Progress
ACT-0097,USR-0020,LES-0051,Not Started
ACT-0098,USR-0174,LES-0011,Completed
ACT-0099,USR-0056,LES-0069,Completed
ACT-0100,USR-0026,LES-0001,In Progress
ACT-0101,USR-0085,LES-0196,In Progress
ACT-0102,USR-0022,LES-0051,Not Started
ACT-0103,USR-0126,LES-0021,Not Started
ACT-0104,USR-0084,LES-0143,Not Started
ACT-0105,USR-0088,LES-0011,Completed
ACT-0106,USR-0139,LES-0064,Not Started
ACT-0107,USR-0197,LES-0121,In Progress
ACT-0108,USR-0194,LES-0111,Completed
ACT-0109,USR-0042,LES-0184,Not Started
ACT-0110,USR-0036,LES-0147,Completed
ACT-0111,USR-0130,LES-0008,Not Started
ACT-0112,USR-0035,LES-0013,In Progress
ACT-0113,USR-0129,LES-0052,Not Started
ACT-0114,USR-0135,LES-0151,In Progress
ACT-0115,USR-0010,LES-0045,In Progress
ACT-0116,USR-0012,LES-0172,In Progress
ACT-0117,USR-0045,LES-0199,Completed
ACT-0118,USR-0056,LES-0060,Not Started
ACT-0119,USR-0153,LES-0012,In Progress
ACT-0120,USR-0076,LES-0098,In Progress
ACT-0121,USR-0009,LES-0066,Completed
ACT-0122,USR-0089,LES-0083,Completed
ACT-0123,USR-0012,LES-0136,Not Started
ACT-0124,USR-0086,LES-0079,Not Started
ACT-0125,USR-0195,LES-0087,Completed
ACT-0126,USR-0110,LES-0002,Completed
ACT-0127,USR-0184,LES-0009,Not Started
ACT-0128,USR-0004,LES-0121,In Progress
ACT-0129,USR-0124,LES-0019,Not Started
ACT-0130,USR-0056,LES-0099,Completed
ACT-0131,USR-0093,LES-0189,In Progress
ACT-0132,USR-0120,LES-0080,In Progress
ACT-0133,USR-0065,LES-0186,Not Started
ACT-0134,USR-0069,LES-0134,Not Started
ACT-0135,USR-0130,LES-0046,In Progress
ACT-0136,USR-0009,LES-0095,Completed
ACT-0137,USR-0031,LES-0006,Not Started
ACT-0138,USR-0101,LES-0158,Completed
ACT-0139,USR-0132,LES-0165,Not Started
ACT-0140,USR-0095,LES-0118,In Progress
ACT-0141,USR-0058,LES-0132,In Progress
ACT-0142,USR-0071,LES-0165,Completed
ACT-0143,USR-0040,LES-0103,In Progress
ACT-0144,USR-0050,LES-0087,Completed
ACT-0145,USR-0098,LES-0045,In Progress
ACT-0146,USR-0112,LES-0178,In Progress
ACT-0147,USR-0149,LES-0012,In Progress
ACT-0148,USR-0054,LES-0083,Not Started
ACT-0149,USR-0132,LES-0085,In Progress
ACT-0150,USR-0101,LES-0176,Completed
ACT-0151,USR-0113,LES-0005,Completed
ACT-0152,USR-0158,LES-0181,In Progress
ACT-0153,USR-0148,LES-0173,Not Started
ACT-0154,USR-0180,LES-0061,Completed
ACT-0155,USR-0033,LES-0168,In Progress
ACT-0156,USR-0020,LES-0181,In Progress
ACT-0157,USR-0088,LES-0152,In Progress
ACT-0158,USR-0100,LES-0043,Completed
ACT-0159,USR-0075,LES-0155,In Progress
ACT-0160,USR-0128,LES-0125,In Progress
ACT-0161,USR-0003,LES-0190,In Progress
ACT-0162,USR-0030,LES-0168,Completed
ACT-0163,USR-0067,LES-0174,In Progress
ACT-0164,USR-0076,LES-0001,Completed
ACT-0165,USR-0019,LES-0057,Completed
ACT-0166,USR-0011,LES-0160,Not Started
ACT-0167,USR-0085,LES-0145,In Progress
ACT-0168,USR-0136,LES-0006,Completed
ACT-0169,USR-0113,LES-0143,Not Started
ACT-0170,USR-0009,LES-0130,In Progress
ACT-0171,USR-0099,LES-0031,In Progress
ACT-0172,USR-0103,LES-0093,Completed
ACT-0173,USR-0187,LES-0055,In Progress
ACT-0174,USR-0099,LES-0106,In Progress
ACT-0175,USR-0144,LES-0187,In Progress
ACT-0176,USR-0172,LES-0190,Not Started
ACT-0177,USR-0166,LES-0025,Not Started
ACT-0178,USR-0068,LES-0082,Not Started
ACT-0179,USR-0162,LES-0129,Completed
ACT-0180,USR-0019,LES-0141,Not Started
ACT-0181,USR-0200,LES-0041,Completed
ACT-0182,USR-0072,LES-0027,In Progress
ACT-0183,USR-0064,LES-0182,In Progress
ACT-0184,USR-0159,LES-0108,Not Started
ACT-0185,USR-0138,LES-0037,Completed
ACT-0186,USR-0089,LES-0161,Not Started
ACT-0187,USR-0136,LES-0028,Completed
ACT-0188,USR-0174,LES-0056,Not Started
ACT-0189,USR-0050,LES-0089,Completed
ACT-0190,USR-0113,LES-0030,In Progress
ACT-0191,USR-0029,LES-0198,In Progress
ACT-0192,USR-0122,LES-0127,In Progress
ACT-0193,USR-0079,LES-0168,Completed
ACT-0194,USR-0183,LES-0043,Completed
ACT-0195,USR-0038,LES-0130,Completed
ACT-0196,USR-0178,LES-0179,Completed
ACT-0197,USR-0145,LES-0084,In Progress
ACT-0198,USR-0066,LES-0028,Completed
ACT-0199,USR-0167,LES-0056,Not Started
ACT-0200,USR-0152,LES-0144,In Progress
