tenant_id,tenant_name,tenant_status
TNT-0001,Cox-Meyer ,Suspended
TNT-0002,Rodriguez and Sons ,Active
TNT-0003,Holloway-Henderson ,Inactive
TNT-0004,"Burke, Mccoy and Blankenship ",Suspended
TNT-0005,Flowers-Hunt ,Suspended
TNT-0006,Schaefer-Walker ,Inactive
TNT-0007,Hood LLC ,Active
TNT-0008,Dixon-Hawkins ,Suspended
TNT-0009,Washington-Anderson ,Active
TNT-0010,"Hobbs, Glass and Lee ",Active
TNT-0011,Alvarez Inc ,Active
TNT-0012,"Wilson, Graham and Adams ",Active
TNT-0013,"Orozco, Schultz and Smith ",Inactive
TNT-0014,Ellis LLC ,Suspended
TNT-0015,Young-Martinez ,Suspended
TNT-0016,Bowen LLC ,Suspended
TNT-0017,"Davis, Moore and Herring ",Active
TNT-0018,Miller-Owen ,Inactive
TNT-0019,Garcia-Ramos ,Suspended
TNT-0020,"Cannon, Frank and Smith ",Inactive
TNT-0021,Jenkins and Sons ,Inactive
TNT-0022,"Johnson, Thompson and Schultz ",Suspended
TNT-0023,"Rodriguez, Jensen and Robinson ",Inactive
TNT-0024,Dawson LLC ,Active
TNT-0025,Mitchell-Smith ,Suspended
TNT-0026,"Rogers, Castro and Fernandez ",Suspended
TNT-0027,Cruz PLC ,Suspended
TNT-0028,Thompson Inc ,Inactive
TNT-0029,"Collins, Baxter and Johnson ",Inactive
TNT-0030,Murphy-Hernandez ,Suspended
TNT-0031,"Adams, Jennings and Brown ",Active
TNT-0032,Coffey PLC ,Active
TNT-0033,Sampson PLC ,Suspended
TNT-0034,Figueroa-Torres ,Active
TNT-0035,"Thompson, Reed and Roach ",Suspended
TNT-0036,Lawrence-Ferguson ,Active
TNT-0037,Galloway-Herman ,Inactive
TNT-0038,Garza PLC ,Inactive
TNT-0039,"Arnold, Davis and Martin ",Suspended
TNT-0040,Haney Group ,Active
TNT-0041,"Miller, Woods and Medina ",Active
TNT-0042,"Johnson, Davis and Roberts ",Suspended
TNT-0043,"Rose, Carter and Pierce ",Inactive
TNT-0044,Trevino LLC ,Suspended
TNT-0045,Colon-Moody ,Active
TNT-0046,Vang and Sons ,Inactive
TNT-0047,Dixon-Villa ,Inactive
TNT-0048,Richardson-Payne ,Inactive
TNT-0049,Baker-Gonzalez ,Active
TNT-0050,Cruz-Chambers ,Suspended
TNT-0051,"Simon, Sims and Allen ",Suspended
TNT-0052,Smith PLC ,Active
TNT-0053,Murray-Stanley ,Active
TNT-0054,Peterson-Burns ,Suspended
TNT-0055,Cameron-Baker ,Suspended
TNT-0056,"Wolfe, Jones and Powers ",Suspended
TNT-0057,Palmer Inc ,Active
TNT-0058,Wilson Ltd ,Active
TNT-0059,Lewis Group ,Suspended
TNT-0060,Meza-Harris ,Active
TNT-0061,Bryant and Sons ,Active
TNT-0062,Kane Ltd ,Inactive
TNT-0063,Joyce-Trujillo ,Active
TNT-0064,Smith-Zuniga ,Active
TNT-0065,Torres-Davis ,Active
TNT-0066,Chan-Phillips ,Inactive
TNT-0067,Contreras-Johnson ,Inactive
TNT-0068,Singh and Sons ,Suspended
TNT-0069,Thomas Ltd ,Active
TNT-0070,Burgess Ltd ,Active
TNT-0071,Patrick and Sons ,Suspended
TNT-0072,Melton and Sons ,Suspended
TNT-0073,"Clements, Miller and Clark ",Inactive
TNT-0074,"Stewart, Edwards and Jones ",Inactive
TNT-0075,"Harvey, Berger and Anderson ",Inactive
TNT-0076,Powell LLC ,Active
TNT-0077,Anderson-Thomas ,Inactive
TNT-0078,"Roy, Curtis and Nixon ",Active
TNT-0079,"Gonzalez, Foley and Maldonado ",Suspended
TNT-0080,Ramirez LLC ,Inactive
TNT-0081,"Cobb, Robinson and Rose ",Inactive
TNT-0082,Shaffer Ltd ,Suspended
TNT-0083,Mcclure LLC ,Active
TNT-0084,Castro Inc ,Active
TNT-0085,Ryan Group ,Suspended
TNT-0086,Byrd and Sons ,Suspended
TNT-0087,"Smith, Smith and Stanton ",Active
TNT-0088,"Anderson, Davis and Gentry ",Active
TNT-0089,"Morris, Andrade and Brown ",Inactive
TNT-0090,Young-Watson ,Inactive
TNT-0091,Coleman LLC ,Suspended
TNT-0092,Robles-Marshall ,Inactive
TNT-0093,Price Inc ,Suspended
TNT-0094,Cunningham Inc ,Active
TNT-0095,Cooper Group ,Suspended
TNT-0096,Green Ltd ,Active
TNT-0097,Johnson-Gordon ,Active
TNT-0098,"Wright, Beltran and Smith ",Active
TNT-0099,Sanchez-Perry ,Active
TNT-0100,Rivera-Bennett ,Active
TNT-0101,Long-Bullock ,Inactive
TNT-0102,"Miller, Miller and Peterson ",Inactive
TNT-0103,"Martin, Mitchell and Walls ",Inactive
TNT-0104,Hayes Group ,Inactive
TNT-0105,"Lopez, Lynch and Smith ",Active
TNT-0106,"Norris, Garza and Bird ",Inactive
TNT-0107,Jimenez Ltd ,Active
TNT-0108,Thomas-Mcdonald ,Active
TNT-0109,Fuller Inc ,Inactive
TNT-0110,Herrera Group ,Inactive
TNT-0111,Moyer-Wang ,Active
TNT-0112,Welch PLC ,Active
TNT-0113,Mcclure-Cook ,Suspended
TNT-0114,Randolph Inc ,Suspended
TNT-0115,Camacho Group ,Inactive
TNT-0116,"Davis, Cole and Parker ",Suspended
TNT-0117,Diaz and Sons ,Inactive
TNT-0118,"Lee, Thompson and Bishop ",Inactive
TNT-0119,"Haney, Townsend and Murphy ",Suspended
TNT-0120,"Holland, Wyatt and Hancock ",Inactive
TNT-0121,Rodriguez Group ,Inactive
TNT-0122,Webb-Hardy ,Suspended
TNT-0123,Vincent Ltd ,Inactive
TNT-0124,"Martinez, Adams and Burton ",Inactive
TNT-0125,Anderson-Myers ,Inactive
TNT-0126,"Brown, Cruz and Levine ",Suspended
TNT-0127,"Delacruz, Winters and Johnson ",Suspended
TNT-0128,"Garcia, Jones and Clark ",Suspended
TNT-0129,"Brewer, Lawson and Perez ",Inactive
TNT-0130,Vaughn PLC ,Inactive
TNT-0131,Case-English ,Inactive
TNT-0132,Cunningham Group ,Inactive
TNT-0133,Zhang Ltd ,Inactive
TNT-0134,Blanchard Ltd ,Inactive
TNT-0135,"Jones, Garcia and Bentley ",Inactive
TNT-0136,"Burns, Harrell and Jacobs ",Suspended
TNT-0137,Fisher-Webb ,Active
TNT-0138,Durham Ltd ,Suspended
TNT-0139,"Allen, Haynes and Olson ",Active
TNT-0140,Jenkins-Orozco ,Suspended
TNT-0141,Nguyen LLC ,Active
TNT-0142,Ray-Higgins ,Active
TNT-0143,Bates-Riddle ,Suspended
TNT-0144,Suarez-Maxwell ,Suspended
TNT-0145,Jackson Ltd ,Active
TNT-0146,"Cohen, Marsh and Little ",Active
TNT-0147,Nelson LLC ,Active
TNT-0148,"Terrell, Hudson and Robinson ",Inactive
TNT-0149,Ross Ltd ,Suspended
TNT-0150,"Price, Lopez and Holland ",Inactive
TNT-0151,"Casey, Alvarez and Woodward ",Inactive
TNT-0152,Williams-Cox ,Inactive
TNT-0153,"Ingram, Blackwell and Jennings ",Suspended
TNT-0154,"Obrien, Lowe and Hernandez ",Suspended
TNT-0155,Dean-Delgado ,Inactive
TNT-0156,Vance and Sons ,Suspended
TNT-0157,"Gutierrez, Dougherty and Johnson ",Active
TNT-0158,"Reed, Hull and Torres ",Inactive
TNT-0159,"Day, Smith and Johnston ",Active
TNT-0160,"Stevens, Davis and Barker ",Inactive
TNT-0161,Cohen Ltd ,Suspended
TNT-0162,Brown LLC ,Inactive
TNT-0163,"King, Rangel and Whitney ",Suspended
TNT-0164,Sullivan-Ewing ,Active
TNT-0165,"Lewis, Hamilton and Ware ",Suspended
TNT-0166,Neal Group ,Active
TNT-0167,Cook-Contreras ,Active
TNT-0168,Garcia LLC ,Active
TNT-0169,Maldonado-Garcia ,Inactive
TNT-0170,"Hunt, Coffey and Odom ",Suspended
TNT-0171,"Todd, Smith and Li ",Active
TNT-0172,"Johnson, Kirby and Park ",Suspended
TNT-0173,"Lambert, Adams and Robinson ",Inactive
TNT-0174,"Marquez, Walker and Jones ",Suspended
TNT-0175,Hill Group ,Inactive
TNT-0176,"Harris, Tran and Bennett ",Suspended
TNT-0177,Stone Inc ,Active
TNT-0178,"Stephens, Osborne and Randall ",Suspended
TNT-0179,Grimes Ltd ,Suspended
TNT-0180,Sanchez-Clayton ,Inactive
TNT-0181,"Cantu, Gross and Brown ",Suspended
TNT-0182,"Price, Jenkins and Peters ",Active
TNT-0183,Garner PLC ,Active
TNT-0184,"Wolf, Adkins and Barnes ",Inactive
TNT-0185,"Fields, Merritt and Ortiz ",Inactive
TNT-0186,Hernandez Inc ,Suspended
TNT-0187,Fisher-Richardson ,Active
TNT-0188,Francis-Brown ,Active
TNT-0189,Oliver Ltd ,Active
TNT-0190,Franco-Miranda ,Active
TNT-0191,"Eaton, Garcia and Hawkins ",Active
TNT-0192,Pacheco-Reynolds ,Inactive
TNT-0193,Maldonado Group ,Active
TNT-0194,"Schmidt, Mcmahon and Lawson ",Suspended
TNT-0195,Johnson Group ,Suspended
TNT-0196,"Martin, Fuller and Jackson ",Suspended
TNT-0197,Hanson-Webb ,Suspended
TNT-0198,Hubbard-Johnson ,Suspended
TNT-0199,"Wallace, Adams and Evans ",Suspended
TNT-0200,"Harrell, Salazar and Crosby ",Suspended
