Warehouse,Product,Stock Level,Reorder Level,Supplier,Last Updated,Transport Cost
WH-D,Hard Disk,,149,Supplier-A,2026-01-31,2020
WH-D,Keyboard,,209,Supplier-B,2024-11-16,1520
WH-D,Tablet,29.0,227,Supplier-Y,2025-02-22,2370
WH-A,Printer,464.0,92,Supplier-C,2025-05-10,2770
WH-C,Monitor,334.0,220,Supplier-X,2024-11-01,2800
WH-D,Monitor,284.0,87,Supplier-C,2026-01-20,3020
WH-E,Hard Disk,530.0,112,Supplier-B,2024-11-04,1900
WH-B,Mouse,445.0,173,Supplier-X,2024-09-22,900
WH-C,Printer,373.0,182,Supplier-Y,2026-04-17,3320
WH-A,SSD,515.0,97,Supplier-C,2024-12-14,6550
WH-C,Monitor,594.0,185,Supplier-B,2026-02-22,2850
WH-C,SSD,569.0,223,Supplier-A,2025-09-25,7250
WH-C,Tablet,387.0,110,Supplier-Y,2024-12-06,2300
WH-D,Keyboard,63.0,90,Supplier-Z,2025-02-05,1670
WH-B,Mouse,434.0,211,Supplier-A,2026-03-15,1150
WH-D,Hard Disk,,182,Supplier-Y,2025-05-02,1870
WH-C,Keyboard,73.0,154,Supplier-A,2025-03-03,1650
WH-B,Mouse,456.0,142,Supplier-A,2025-04-27,1150
WH-A,Mobile,557.0,217,Supplier-Z,2026-03-12,1500
WH-D,Keyboard,312.0,242,Supplier-X,2024-10-14,1470
WH-D,Tablet,444.0,211,Supplier-B,2025-03-20,2320
WH-C,Printer,293.0,289,Supplier-Z,2024-10-30,3420
WH-B,Mobile,367.0,145,Supplier-A,2026-04-29,1800
WH-E,Hard Disk,140.0,222,Supplier-X,2024-12-14,1850
WH-C,Hard Disk,,215,Supplier-Y,2026-01-13,1800
WH-D,Printer,,236,Supplier-A,2024-07-04,3540
WH-A,Tablet,176.0,109,Supplier-Y,2025-01-27,1700
WH-C,Hard Disk,,91,Supplier-B,2024-12-25,1750
WH-E,Monitor,24.0,288,Supplier-A,2025-09-30,3200
WH-B,SSD,,57,Supplier-Y,2025-08-22,6750
WH-E,Tablet,76.0,160,Supplier-Y,2024-09-18,2450
WH-E,Tablet,586.0,61,Supplier-Z,2026-05-15,2550
WH-A,Mobile,151.0,281,Supplier-Y,2026-05-06,1400
WH-C,Tablet,522.0,297,Supplier-A,2025-08-29,2450
WH-E,Router,141.0,121,Supplier-B,2026-05-04,2000
WH-A,Printer,70.0,52,Supplier-Z,2025-01-27,2820
WH-C,Mouse,330.0,136,Supplier-X,2025-09-24,1250
WH-C,Printer,79.0,294,Supplier-C,2024-08-03,3370
WH-E,Mouse,251.0,296,Supplier-Z,2026-02-21,1600
WH-E,Keyboard,28.0,256,Supplier-B,2026-03-22,1600
WH-A,Printer,183.0,181,Supplier-Z,2025-07-06,2820
WH-E,Mouse,536.0,206,Supplier-A,2024-11-07,1650
WH-E,SSD,64.0,149,Supplier-X,2025-08-07,7150
WH-E,SSD,325.0,114,Supplier-X,2026-02-08,7150
WH-C,Mobile,545.0,119,Supplier-Y,2024-12-22,2000
WH-A,Router,371.0,257,Supplier-X,2025-12-21,1200
WH-D,Hard Disk,454.0,143,Supplier-Z,2026-03-17,1970
WH-E,Monitor,525.0,144,Supplier-A,2026-06-23,3200
WH-E,Hard Disk,457.0,283,Supplier-C,2025-12-10,2000
WH-C,Tablet,311.0,217,Supplier-C,2026-02-10,2350
WH-A,Tablet,379.0,200,Supplier-X,2026-04-13,1600
WH-C,Hard Disk,120.0,282,Supplier-C,2024-09-04,1850
WH-E,Printer,447.0,153,Supplier-B,2024-10-09,3420
WH-A,Laptop,,67,Supplier-B,2025-02-28,1950
WH-E,Keyboard,137.0,270,Supplier-B,2025-10-14,1600
WH-E,Mobile,90.0,237,Supplier-X,2025-08-31,2050
WH-A,Printer,275.0,192,Supplier-A,2026-06-26,2870
WH-B,Keyboard,123.0,268,Supplier-X,2025-12-11,1050
WH-A,SSD,258.0,200,Supplier-Y,2026-04-18,6500
WH-A,Mobile,591.0,95,Supplier-X,2025-08-10,1300
WH-D,Keyboard,185.0,178,Supplier-A,2025-09-07,1720
WH-E,Hard Disk,229.0,130,Supplier-B,2025-04-08,1900
WH-D,Mobile,379.0,103,Supplier-Y,2024-09-13,2070
WH-A,Monitor,594.0,56,Supplier-A,2026-05-15,2450
WH-C,Laptop,334.0,146,Supplier-C,2026-05-06,2650
WH-C,Laptop,338.0,252,Supplier-B,2025-06-07,2550
WH-D,SSD,291.0,286,Supplier-C,2026-04-20,7220
WH-B,SSD,77.0,278,Supplier-X,2025-11-02,6650
WH-E,Printer,262.0,241,Supplier-B,2026-04-09,3420
WH-E,Printer,231.0,207,Supplier-Y,2025-11-08,3470
WH-C,Printer,150.0,92,Supplier-C,2025-10-20,3370
WH-D,Keyboard,98.0,126,Supplier-A,2025-01-09,1720
WH-A,Keyboard,98.0,299,Supplier-C,2025-12-04,950
WH-C,Printer,296.0,75,Supplier-C,2025-05-15,3370
WH-D,Laptop,263.0,143,Supplier-A,2024-08-22,2820
WH-A,SSD,559.0,263,Supplier-B,2024-10-05,6450
WH-C,Router,89.0,117,Supplier-X,2025-02-05,1800
WH-B,Router,,98,Supplier-A,2026-02-13,1700
WH-A,Laptop,556.0,256,Supplier-Z,2025-01-13,2100
WH-C,Mobile,488.0,111,Supplier-X,2026-06-07,1900
WH-C,Mobile,585.0,149,Supplier-X,2026-03-06,1900
WH-E,Laptop,172.0,69,Supplier-X,2025-04-24,2650
WH-E,SSD,,279,Supplier-C,2026-02-10,7300
WH-E,Laptop,460.0,199,Supplier-Z,2024-09-03,2850
WH-A,Mouse,576.0,181,Supplier-Z,2025-08-26,850
WH-B,Tablet,422.0,132,Supplier-C,2024-07-06,2000
WH-C,SSD,397.0,290,Supplier-C,2025-10-29,7150
WH-E,Keyboard,591.0,265,Supplier-Y,2026-04-23,1650
WH-A,Tablet,386.0,215,Supplier-C,2025-03-11,1750
WH-C,Hard Disk,78.0,120,Supplier-A,2026-03-05,1950
WH-B,Laptop,442.0,130,Supplier-A,2026-04-24,2400
WH-B,Hard Disk,265.0,102,Supplier-C,2024-09-05,1500
WH-B,Monitor,84.0,242,Supplier-Z,2025-09-06,2650
WH-A,Printer,485.0,98,Supplier-Z,2026-05-11,2820
WH-C,Keyboard,442.0,256,Supplier-A,2025-07-08,1650
WH-A,Tablet,346.0,124,Supplier-B,2024-08-26,1650
WH-B,Router,414.0,219,Supplier-Z,2026-01-26,1650
WH-B,Mobile,363.0,181,Supplier-Z,2026-05-08,1750
WH-E,Router,72.0,281,Supplier-Z,2025-08-24,2150
WH-C,Router,51.0,151,Supplier-A,2026-04-23,2050
WH-E,Tablet,111.0,280,Supplier-C,2026-01-14,2500
WH-E,Hard Disk,365.0,93,Supplier-Y,2026-03-17,1950
WH-C,Mouse,477.0,180,Supplier-C,2025-12-05,1400
WH-A,Monitor,160.0,292,Supplier-Z,2026-03-29,2400
WH-A,Monitor,417.0,266,Supplier-B,2024-12-23,2250
WH-A,Mouse,123.0,291,Supplier-C,2026-05-11,800
WH-E,Printer,236.0,297,Supplier-Y,2024-11-06,3470
WH-B,Keyboard,549.0,158,Supplier-X,2026-05-08,1050
WH-D,Router,265.0,57,Supplier-X,2025-07-22,1870
WH-D,Mouse,301.0,130,Supplier-B,2026-05-27,1370
WH-B,Keyboard,164.0,96,Supplier-X,2026-01-12,1050
WH-A,SSD,84.0,214,Supplier-X,2025-09-09,6400
WH-B,Hard Disk,499.0,189,Supplier-Y,2025-04-01,1450
WH-B,Mouse,191.0,71,Supplier-B,2024-12-20,950
WH-C,Keyboard,349.0,160,Supplier-Y,2026-04-29,1500
WH-C,Monitor,449.0,245,Supplier-C,2025-08-02,2950
WH-E,Printer,566.0,70,Supplier-C,2025-10-09,3520
WH-E,Router,111.0,202,Supplier-C,2026-04-13,2100
WH-E,Router,474.0,225,Supplier-A,2025-01-25,2200
WH-B,SSD,500.0,129,Supplier-Y,2024-07-20,6750
WH-A,Keyboard,,144,Supplier-Y,2025-08-29,900
WH-D,Tablet,450.0,246,Supplier-Y,2025-07-09,2370
WH-B,SSD,387.0,250,Supplier-C,2025-12-01,6800
WH-A,Printer,340.0,167,Supplier-X,2026-02-18,2620
WH-D,Mobile,,262,Supplier-X,2025-03-12,1970
WH-B,Tablet,300.0,127,Supplier-C,2025-06-01,2000
WH-C,Printer,87.0,212,Supplier-B,2026-05-03,3270
WH-C,Monitor,,215,Supplier-Z,2025-09-19,3000
WH-B,Keyboard,597.0,182,Supplier-Y,2025-01-05,1150
WH-E,Laptop,473.0,240,Supplier-X,2025-04-28,2650
WH-D,Keyboard,,133,Supplier-Z,2026-02-06,1670
WH-B,Mouse,317.0,107,Supplier-A,2025-06-15,1150
WH-D,Keyboard,192.0,136,Supplier-C,2025-09-04,1620
WH-E,Hard Disk,395.0,201,Supplier-C,2024-12-05,2000
WH-E,Printer,412.0,202,Supplier-A,2025-03-27,3620
WH-C,Monitor,327.0,151,Supplier-Z,2026-04-23,3000
WH-A,Keyboard,599.0,203,Supplier-C,2025-09-09,950
WH-A,Router,306.0,154,Supplier-B,2025-08-02,1250
WH-B,Router,289.0,294,Supplier-X,2025-09-12,1450
WH-D,Monitor,130.0,90,Supplier-Z,2025-10-27,3070
WH-D,SSD,573.0,62,Supplier-X,2025-03-25,7070
WH-C,Laptop,430.0,272,Supplier-Y,2025-01-05,2600
WH-E,Keyboard,174.0,63,Supplier-A,2025-12-03,1800
WH-C,Mobile,415.0,74,Supplier-Z,2025-05-09,2100
WH-A,Printer,313.0,207,Supplier-A,2025-06-30,2870
WH-B,Monitor,384.0,263,Supplier-Y,2026-02-09,2550
WH-C,Monitor,389.0,219,Supplier-Y,2026-05-03,2900
WH-D,SSD,590.0,207,Supplier-B,2026-04-10,7120
WH-D,Printer,,130,Supplier-A,2024-08-12,3540
WH-D,Printer,415.0,162,Supplier-C,2026-06-30,3440
WH-E,Tablet,393.0,266,Supplier-X,2026-03-13,2350
WH-B,Hard Disk,,293,Supplier-B,2026-02-04,1400
WH-E,Mobile,63.0,252,Supplier-A,2025-01-15,2300
WH-E,Tablet,23.0,300,Supplier-C,2025-08-20,2500
WH-C,Hard Disk,191.0,297,Supplier-B,2024-11-09,1750
WH-A,Printer,89.0,265,Supplier-Y,2026-01-11,2720
WH-E,Monitor,21.0,86,Supplier-C,2026-05-02,3100
WH-A,Monitor,201.0,175,Supplier-Z,2025-08-26,2400
WH-E,Keyboard,157.0,76,Supplier-C,2024-08-06,1700
WH-E,Keyboard,598.0,268,Supplier-Z,2025-12-25,1750
WH-B,Laptop,449.0,255,Supplier-B,2026-05-21,2200
WH-A,Router,304.0,111,Supplier-Z,2024-09-07,1400
WH-E,Laptop,246.0,204,Supplier-Y,2024-12-01,2750
WH-E,Mobile,99.0,86,Supplier-A,2025-05-09,2300
WH-A,Monitor,184.0,82,Supplier-X,2025-07-15,2200
WH-D,Keyboard,209.0,214,Supplier-X,2026-05-16,1470
WH-C,SSD,147.0,232,Supplier-X,2025-10-04,7000
WH-B,Tablet,348.0,299,Supplier-Z,2025-01-17,2050
WH-A,Mouse,126.0,237,Supplier-Y,2025-02-05,750
WH-E,Mouse,107.0,196,Supplier-Y,2025-03-17,1500
WH-A,Keyboard,274.0,271,Supplier-A,2024-11-23,1050
WH-E,Mouse,97.0,75,Supplier-X,2025-10-29,1400
WH-B,Laptop,485.0,147,Supplier-Z,2025-08-22,2350
WH-A,Hard Disk,348.0,248,Supplier-Z,2026-03-02,1300
WH-C,Router,155.0,244,Supplier-Z,2025-01-25,2000
WH-D,SSD,529.0,177,Supplier-A,2025-06-28,7320
WH-D,Mobile,518.0,223,Supplier-Z,2026-01-23,2170
WH-E,SSD,426.0,256,Supplier-C,2025-08-21,7300
WH-B,Keyboard,96.0,95,Supplier-A,2025-05-10,1300
WH-B,Tablet,,158,Supplier-X,2025-03-29,1850
WH-C,Keyboard,220.0,234,Supplier-Y,2025-04-17,1500
WH-D,Router,597.0,107,Supplier-Z,2024-11-19,2070
WH-E,Keyboard,,258,Supplier-A,2026-04-14,1800
WH-C,Mouse,324.0,208,Supplier-A,2025-10-16,1500
WH-C,Tablet,98.0,100,Supplier-B,2025-05-31,2250
WH-C,Hard Disk,122.0,202,Supplier-B,2026-06-13,1750
WH-C,Router,435.0,256,Supplier-Y,2024-11-29,1900
WH-B,Hard Disk,,62,Supplier-Z,2026-05-14,1550
WH-B,Laptop,277.0,236,Supplier-Y,2026-04-17,2250
WH-E,Mobile,282.0,235,Supplier-C,2026-03-06,2200
WH-C,Mouse,573.0,169,Supplier-A,2024-07-24,1500
WH-A,SSD,25.0,86,Supplier-B,2024-10-15,6450
WH-E,Monitor,,165,Supplier-Y,2025-02-05,3050
WH-E,Router,380.0,248,Supplier-Z,2026-02-20,2150
WH-E,Tablet,573.0,166,Supplier-A,2026-02-15,2600
WH-A,Tablet,274.0,172,Supplier-Y,2025-11-30,1700
